id,goals,expectedGoals,bigChancesMissed,successfulDribbles,successfulDribblesPercentage,totalShots,shotsOnTarget,shotsOffTarget,blockedShots,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,shotFromSetPiece,freeKickGoal,goalsFromInsideTheBox,goalsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,hitWoodwork,offsides,penaltyConversion,setPieceConversion,rating,tackles,interceptions,penaltyConceded,clearances,errorLeadToGoal,errorLeadToShot,ownGoals,dribbledPast,cleanSheet,bigChancesCreated,assists,accuratePasses,inaccuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,passToAssist,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,possessionLost,appearances,matchesStarted,saves,penaltyFaced,penaltySave,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,team,name,position,value
1,0,0.03,0,1,50,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.73,4,0,0,1,0,0,0,0,0,0,0,45,4,49,91.84,26,19,6,2,0,0,4,80,0,1,0,7,70,0,0,7,63.64,120,2,1,1,13,4,1,0,0,0,0,0,2,0,0,0,0,0,0,sevilla,bueno-manu,M,515000
3,0,0.29,0,2,50,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.78,5,0,0,1,0,0,0,4,0,1,0,30,12,42,71.43,9,21,9,1,0,0,0,0,0,0,0,10,50,1,20,11,44,131,3,2,2,22,5,1,0,0,0,0,0,0,0,0,0,0,0,0,real-sociedad,jon-magunazelaia,M,925000
4,1,1.97,2,3,60,7,3,2,2,14.29,1,1,1,0,0,1,0,0,0,1,0,2,100,0,6.67,4,0,0,5,0,0,0,0,0,1,1,37,22,59,62.71,9,29,19,6,1,50,1,100,0,0,0,13,46.43,8,28.57,21,37.5,299,6,10,3,39,16,2,0,0,0,0,0,7,1,0,0,0,0,0,valencia,alberto-mari,F,1600000
5,0,0.03,0,1,33.33,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.44,0,0,0,2,0,0,0,6,0,0,0,54,18,72,75,17,38,19,2,1,16.67,0,0,0,0,0,2,11.11,1,11.11,3,11.11,158,1,4,4,33,7,1,0,0,0,0,0,0,0,0,0,0,0,0,athletic-club,mikel-jauregizar,M,3100000
7,1,0.11,0,0,0,2,1,1,0,50,0,0,0,0,0,1,0,0,0,1,0,0,0,0,6.56,12,8,0,18,0,0,0,5,0,0,0,156,38,194,80.41,112,44,12,1,0,0,19,41.3,0,4,1,13,41.94,4,36.36,17,40.48,559,1,9,3,51,9,6,0,0,0,0,0,10,0,0,0,0,0,0,osasuna,unai-garcia,D,1200000
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3,0,0,0,0,0,0,0,0,0,0,0,4,0,4,100,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,deportivo-alaves,unai-ropero,F,525000
9,0,1.25,3,7,41.18,7,3,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,6.56,16,8,1,6,0,0,0,8,0,1,0,143,68,211,67.77,43,101,41,7,1,4.55,4,19.05,0,1,0,29,39.19,11,34.38,40,37.74,574,6,19,9,125,13,5,0,0,0,0,0,6,1,0,0,0,0,0,getafe,jordi-martin,M,850000
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,cadiz,moussa-diakite,M,160000
12,0,0.11,0,3,37.5,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.75,20,16,0,15,0,0,0,8,0,0,0,378,51,429,88.11,178,201,89,1,1,50,19,63.33,0,4,0,31,44.93,11,52.38,42,46.67,919,8,18,8,75,17,10,0,0,0,0,0,10,0,0,0,0,0,0,villarreal,francis-coquelin,M,1100000
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,1,0,0,1,0,0,0,0,0,0,0,5,3,8,62.5,4,1,1,0,0,0,0,0,0,0,0,1,100,2,100,3,100,13,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,athletic-club,peru-nolaskoain-esnal,M,950000
