id,name,team,rating,position,value
1,bueno-manu,sevilla,6.73,M,515000
2,marcao,sevilla,6.73,D,4099999
3,jon-magunazelaia,real-sociedad,6.78,M,925000
4,alberto-mari,valencia,6.67,F,1600000
5,mikel-jauregizar,athletic-club,6.44,M,3100000
6,jose-pozo,rayo-vallecano,6.6,M,830000
7,unai-garcia,osasuna,6.56,D,1200000
8,unai-ropero,deportivo-alaves,6.3,F,525000
9,jordi-martin,getafe,6.56,M,850000
10,moussa-diakite,cadiz,0,M,160000
11,pepe-reina,villarreal,7.15,G,620000
12,francis-coquelin,villarreal,6.75,M,1100000
13,peru-nolaskoain-esnal,athletic-club,6.7,M,950000
14,gonzalo-garcia,real-madrid,6.6,F,1000000
15,brian-ocampo,cadiz,6.61,F,930000
16,david-gil,cadiz,7.2,G,720000
17,tanguy-nianzou,sevilla,6.51,D,2900000
18,inaki-pena,barcelona,6.64,G,7300000
19,tomas-mendes,deportivo-alaves,6.4,M,210000
20,nico-paz,real-madrid,6.45,M,16200000
21,victor-chust,cadiz,6.81,D,2100000
22,andrei-ratiu,rayo-vallecano,6.54,D,3700000
23,jorge-pascual,villarreal,6.7,F,1300000
24,wilson-manafa,granada,6.4,D,1200000
25,nabil-fekir,real-betis,7.17,M,10800000
26,luis-milla,getafe,7.05,M,3200000
27,malcom-ares,athletic-club,6.68,M,1900000
28,guiu-marc,barcelona,6.77,F,7000000
29,altimira-adria,villarreal,6.45,D,1900000
30,fernando-martinez,almeria,6.83,G,530000
31,alberto-moleiro,las-palmas,6.81,M,22000000
32,vicente-guaita,celta-vigo,7.1,G,855000
33,kevin-vazquez,celta-vigo,6.58,D,750000
34,ricardo-visus,real-betis,6.8,D,490000
35,gasiorowski-yarek,valencia,6.78,D,13800000
36,ibrahima-kebe,girona-fc,6.6,M,515000
37,sanca-tchami-marciano,almeria,6.48,F,420000
38,joseba-zaldua,cadiz,6.58,D,560000
39,mamadou-mbaye,cadiz,6.8,D,435000
40,andre-silva,real-sociedad,6.62,F,5600000
41,mariano-diaz,sevilla,6.68,F,1100000
42,william-carvalho,real-betis,6.78,M,2900000
43,assane-diao,real-betis,6.64,M,12400000
44,shon-weissman,granada,6.52,F,1500000
45,sergi-guardiola,cadiz,6.67,F,835000
46,aritz-elustondo,real-sociedad,6.89,D,5400000
47,alvaro-odriozola,real-sociedad,6.58,D,1500000
48,roman-yaremchuk,valencia,6.58,F,3200000
49,jhon-solis,girona-fc,6.53,M,4400000
50,dani-ceballos,real-madrid,6.77,M,4200000
51,eric-curbelo,las-palmas,6.8,D,775000
52,centelles-alex,almeria,6.61,D,1300000
53,adnan-januzaj,sevilla,6.69,M,2200000
54,houboulang-mendes,almeria,6.49,D,760000
55,ferland-mendy,real-madrid,6.93,D,23000000
56,rominigue-kouame,cadiz,6.8,M,2100000
57,cristian-herrera,las-palmas,6.67,M,275000
58,manu-trigueros,villarreal,6.67,M,1500000
59,urko-gonzalez,real-sociedad,6.52,D,1200000
60,orjan-nyland,sevilla,7.09,G,1400000
61,raul-torrente,granada,6.59,D,2900000
62,alvaro-carreras,granada,6.71,D,8500000
63,dodi-lukebakio,sevilla,6.84,F,11300000
64,boubakary-soumare,sevilla,6.89,M,13600000
65,sergio-ramos,sevilla,7.34,D,1700000
66,park-marvin,las-palmas,6.67,F,1800000
67,cesar-montes,almeria,6.65,D,5200000
68,carlos-romero,villarreal,6.48,D,2400000
69,diego-rico,getafe,6.95,D,1500000
70,oscar-rodriguez,getafe,6.86,M,2300000
71,mason-greenwood,getafe,7.14,M,34000000
72,marc-bartra,real-betis,6.57,D,1000000
73,francisco-vieites,real-betis,7.18,G,450000
74,chadi-riad,real-betis,6.8,D,14600000
