id,goals,expectedGoals,bigChancesMissed,successfulDribbles,successfulDribblesPercentage,totalShots,shotsOnTarget,shotsOffTarget,blockedShots,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,shotFromSetPiece,freeKickGoal,goalsFromInsideTheBox,goalsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,hitWoodwork,offsides,penaltyConversion,setPieceConversion,rating,tackles,interceptions,penaltyConceded,clearances,errorLeadToGoal,errorLeadToShot,ownGoals,dribbledPast,cleanSheet,bigChancesCreated,assists,accuratePasses,inaccuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,passToAssist,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,possessionLost,appearances,matchesStarted,saves,penaltyFaced,penaltySave,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,team,name,position,value
1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,100,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,deportivo-alaves,eneko-ortiz,D,140000
2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6,2,0,0,2,0,0,0,0,0,0,0,82,4,86,95.35,67,15,0,0,0,0,1,100,0,0,0,4,80,0,0,4,80,90,2,1,0,4,1,1,0,0,0,0,0,2,0,0,0,0,0,0,celta-vigo,yoel-lago,M,185000
3,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,0,0,0,0,0,0,0,0,0,0,0,11,2,13,84.62,8,3,2,0,0,0,1,100,0,0,0,1,100,0,0,1,100,19,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,celta-vigo,javier-rueda,D,415000
4,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,2,0,0,1,0,0,0,0,0,0,0,6,0,6,100,1,5,1,0,0,0,0,0,0,0,0,2,100,0,0,2,100,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,valencia,ruben-iranzo,D,290000
5,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2,0,0,0,1,0,0,0,0,0,0,0,4,5,9,44.44,2,2,0,0,0,0,2,28.57,0,0,0,0,0,0,0,0,0,21,0,0,0,5,1,0,0,0,0,0,0,2,0,0,0,0,1,0,getafe,daniel-fuzato,G,875000
6,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3,0,0,0,0,0,0,0,0,0,0,0,16,11,27,59.26,16,0,0,0,0,0,4,28.57,0,0,0,0,0,0,0,0,0,90,0,0,0,11,1,1,5,0,0,2,3,1,0,0,0,0,1,0,mallorca,ivan-cuellar,G,110000
7,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3,0,0,0,2,0,0,0,0,0,0,0,21,14,35,60,20,1,1,0,0,0,2,13.33,0,0,0,0,0,0,0,0,0,90,0,0,0,14,1,1,0,0,0,0,0,1,0,1,1,1,0,0,rayo-vallecano,dani-cardenas,G,1700000
8,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,100,0,1,1,1,0,0,0,0,0,0,0,1,100,0,0,1,100,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,cadiz,borja-vazquez,F,52000
9,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,0,0,0,4,0,0,0,1,0,0,0,7,3,10,70,5,2,0,0,0,0,1,33.33,0,0,0,0,0,1,100,1,50,23,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,almeria,sanz-paco,D,23000
10,0,,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2,1,0,0,1,0,0,0,0,0,0,0,6,2,8,75,2,4,3,0,0,0,0,0,0,0,0,2,100,0,0,2,100,30,0,0,0,4,1,0,0,0,0,0,0,3,0,0,0,0,0,0,granada,miguel-angel-brau,D,205000
11,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,3,0,0,0,0,0,0,2,0,0,0,4,2,6,66.67,1,4,2,0,1,100,0,0,0,0,0,4,66.67,0,0,4,66.67,18,1,0,0,2,1,0,0,0,0,0,0,3,0,0,0,0,0,0,granada,pablo-saenz,F,215000
12,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6,0,0,0,3,0,0,0,0,0,0,0,5,2,7,71.43,4,1,0,0,0,0,1,33.33,0,0,0,0,0,1,100,1,100,23,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,real-sociedad,vicente-jon-martin,D,1900000
13,0,0.01,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,0,0,0,0,0,0,0,0,0,0,0,2,1,3,66.67,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,athletic-club,olabarrieta-aingeru,F,535000
14,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,0,0,4,0,0,0,1,0,0,0,60,19,79,75.95,41,19,4,0,0,0,4,26.67,0,0,0,1,25,4,40,5,35.71,180,1,1,1,21,2,2,0,0,0,0,0,3,0,0,0,0,0,0,getafe,nabil-aberdin,D,560000
15,0,0.03,0,2,40,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,3,0,0,0,0,0,0,3,0,2,1,24,2,26,92.31,13,12,6,2,1,25,1,100,0,0,0,6,42.86,0,0,6,37.5,122,1,2,1,18,3,2,0,0,0,0,0,4,0,0,0,0,0,0,granada,sergio-rodelas,,
16,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,0,0,0,1,0,0,0,1,0,0,0,67,22,89,75.28,51,16,3,0,0,0,20,47.62,0,0,0,0,0,0,0,0,0,270,0,0,0,23,3,3,12,2,0,8,4,11,0,0,4,4,0,0,granada,marc-martinez,G,285000
17,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,5,0,0,0,0,0,0,1,0,0,0,12,3,15,80,8,4,1,0,0,0,0,0,0,0,0,6,75,0,0,6,75,16,1,1,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,real-madrid,martin-mario,M,535000
18,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,1,100,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,osasuna,max-svensson,F,425000
